Index Name,Date,Open,High,Low,Close,Year
NIFTY 100,2011-03-23,5313.4,5379.5,5305.3,5376.5,2011
NIFTY 100,2011-03-22,5290.1,5328.3,5280.7,5315.4,2011
NIFTY 100,2011-03-21,5307.9,5311.9,5251.0,5268.3,2011
NIFTY 100,2011-03-18,5371.0,5380.8,5271.1,5278.7,2011
NIFTY 100,2011-03-17,5356.1,5403.4,5336.6,5347.2,2011
NIFTY 100,2011-03-16,5362.3,5423.4,5362.3,5402.4,2011
NIFTY 100,2011-03-15,5329.2,5385.7,5272.4,5340.4,2011
NIFTY 100,2011-03-14,5336.8,5426.4,5335.5,5421.9,2011
NIFTY 100,2011-11-03,5360.6,5402.2,5313.3,5344.2,2011
NIFTY 100,2011-10-03,5413.6,5413.6,5369.3,5392.4,2011
NIFTY 100,2011-09-03,5431.4,5455.1,5377.6,5426.0,2011
NIFTY 100,2011-08-03,5360.9,5422.4,5360.9,5413.5,2011
NIFTY 100,2011-07-03,5390.1,5390.1,5307.8,5358.4,2011
NIFTY 100,2011-04-03,5469.6,5497.2,5418.4,5430.6,2011
NIFTY 100,2011-03-03,5380.1,5460.5,5366.6,5428.1,2011
NIFTY 100,2011-01-03,5272.9,5424.5,5272.9,5416.5,2011
NIFTY 100,2011-02-28,5226.6,5364.6,5211.0,5232.3,2011
NIFTY 100,2011-02-25,5213.8,5232.7,5136.5,5204.4,2011
NIFTY 100,2011-02-24,5313.4,5323.0,5147.1,5165.3,2011
NIFTY 100,2011-02-23,5355.6,5389.1,5329.5,5337.1,2011
